event_id,context_version,context_id,context_source,context_type,context_timestamp,subject_id,subject_type,content_task,content_url,run_id,run_source,run_type,run_pipelineName,run_url,run_outcome,run_errors
609198c9-0d5e-4582-8080-9d26c5a07730,0.1.0,34ff441d-de5d-4447-8aa3-b585116b019c,/dev/userB/,dev.simulated_events.pipelineRun.queued,2023-04-04 22:31:53.796517,8ff1182a-f4a9-4d00-abf0-b309b0d2ad0a,pipelineRun,task1,/apis/userB.dev/veta/namespaces/default/pipelineRuns/pipelineRun3,fb299b5f-e815-410c-bee5-c900d9651f95,/dev/userB/,pipelineRun,pipeline3,https://api.example_system.com/namespace/pipeline3,,
4b51d6bb-ec83-4f03-85e9-c8055488c6da,0.1.0,34ff441d-de5d-4447-8aa3-b585116b019c,/dev/userB/,dev.simulated_events.pipelineRun.started,2023-04-04 22:34:15.362745,8ff1182a-f4a9-4d00-abf0-b309b0d2ad0a,pipelineRun,task1,/apis/userB.dev/veta/namespaces/default/pipelineRuns/pipelineRun3,fb299b5f-e815-410c-bee5-c900d9651f95,/dev/userB/,pipelineRun,pipeline3,https://api.example_system.com/namespace/pipeline3,,
8ea73a98-7e36-4379-9c88-ce6244ea8b57,0.1.0,34ff441d-de5d-4447-8aa3-b585116b019c,/dev/userB/,dev.simulated_events.pipelineRun.finished,2023-04-04 22:36:34.827092,8ff1182a-f4a9-4d00-abf0-b309b0d2ad0a,pipelineRun,task1,/apis/userB.dev/veta/namespaces/default/pipelineRuns/pipelineRun3,fb299b5f-e815-410c-bee5-c900d9651f95,/dev/userB/,pipelineRun,pipeline3,https://api.example_system.com/namespace/pipeline3,error,pipelineRun cancelled by user
6871e8f7-00b2-4dfa-98f7-0f0f3b1886fb,0.0.1,529c150b-e031-4a18-bffb-01b86dbc0053,/staging/userA/,staging.simulated_events.pipelineRun.started,2023-04-04 22:31:53.802545,c99bece2-2a2b-42fb-b2ad-0770888ad618,pipelineRun,task2,/apis/userA.staging/veta/namespaces/default/pipelineRuns/pipelineRun2,7fd7ed57-33b4-45fb-b9f6-18149a0388d4,/staging/userA/,pipelineRun,pipeline4,https://api.example_system.com/namespace/pipeline4,,
d99422fd-df8d-4654-ba2a-f18d0736dd65,0.0.1,529c150b-e031-4a18-bffb-01b86dbc0053,/staging/userA/,staging.simulated_events.pipelineRun.finished,2023-04-04 22:34:50.557366,c99bece2-2a2b-42fb-b2ad-0770888ad618,pipelineRun,task2,/apis/userA.staging/veta/namespaces/default/pipelineRuns/pipelineRun2,7fd7ed57-33b4-45fb-b9f6-18149a0388d4,/staging/userA/,pipelineRun,pipeline4,https://api.example_system.com/namespace/pipeline4,error,Timeout during execution
1571a191-b9e4-4085-b242-29c29913e322,0.0.2,45b9ee5f-f7b1-41e4-8067-097c80d21938,/prod/userA/,prod.simulated_events.pipelineRun.queued,2023-04-04 22:31:53.803001,42b30ded-eed3-48a0-9b2d-7fcf703d7532,pipelineRun,task3,/apis/userA.prod/veta/namespaces/default/pipelineRuns/pipelineRun2,949f9a5c-57cc-4c7b-8e5e-54c1b83a7051,/prod/userA/,pipelineRun,pipeline1,https://api.example_system.com/namespace/pipeline1,,
0aac5cac-0608-441e-b876-bd44234cf977,0.0.2,45b9ee5f-f7b1-41e4-8067-097c80d21938,/prod/userA/,prod.simulated_events.pipelineRun.started,2023-04-04 22:33:50.438080,42b30ded-eed3-48a0-9b2d-7fcf703d7532,pipelineRun,task3,/apis/userA.prod/veta/namespaces/default/pipelineRuns/pipelineRun2,949f9a5c-57cc-4c7b-8e5e-54c1b83a7051,/prod/userA/,pipelineRun,pipeline1,https://api.example_system.com/namespace/pipeline1,,
d3b6c203-718e-45e1-adbe-433ce86caf80,0.0.2,45b9ee5f-f7b1-41e4-8067-097c80d21938,/prod/userA/,prod.simulated_events.pipelineRun.finished,2023-04-04 22:35:49.148577,42b30ded-eed3-48a0-9b2d-7fcf703d7532,pipelineRun,task3,/apis/userA.prod/veta/namespaces/default/pipelineRuns/pipelineRun2,949f9a5c-57cc-4c7b-8e5e-54c1b83a7051,/prod/userA/,pipelineRun,pipeline1,https://api.example_system.com/namespace/pipeline1,success,
c51f4a6d-c212-4c1f-8734-8cd4cff8c0ff,0.0.2,b1332538-f319-429b-8448-2199873b832c,/staging/userC/,staging.simulated_events.taskRun.started,2023-04-04 22:31:53.803893,47219c07-91ed-451e-9448-ddc1a55635fe,taskRun,task3,/apis/userC.staging/veta/namespaces/default/taskRuns/taskRun2,92ce8ac6-d729-40cc-9417-1fab83d2cf72,/staging/userC/,taskRun,pipeline3,https://api.example_system.com/namespace/pipeline3,,
336e395b-6135-4c55-8315-1292da50d72c,0.0.2,b1332538-f319-429b-8448-2199873b832c,/staging/userC/,staging.simulated_events.taskRun.finished,2023-04-04 22:34:07.559221,47219c07-91ed-451e-9448-ddc1a55635fe,taskRun,task3,/apis/userC.staging/veta/namespaces/default/taskRuns/taskRun2,92ce8ac6-d729-40cc-9417-1fab83d2cf72,/staging/userC/,taskRun,pipeline3,https://api.example_system.com/namespace/pipeline3,success,
d643e47c-db0e-440f-ba02-ca895d3c5809,0.1.0,56ac6cf8-7696-4d76-8fbc-9f9b70ca7bc5,/prod/userC/,prod.simulated_events.taskRun.started,2023-04-04 22:31:53.804359,b4bc025c-c7b1-4593-9e6a-38373bb49113,taskRun,task3,/apis/userC.prod/veta/namespaces/default/taskRuns/taskRun2,ba51b8fd-67c1-41fc-96f8-5cb7fed4de0f,/prod/userC/,taskRun,pipeline4,https://api.example_system.com/namespace/pipeline4,,
d2a19df8-b34f-4c29-9577-7e1b709fd39c,0.1.0,56ac6cf8-7696-4d76-8fbc-9f9b70ca7bc5,/prod/userC/,prod.simulated_events.taskRun.finished,2023-04-04 22:33:42.394422,b4bc025c-c7b1-4593-9e6a-38373bb49113,taskRun,task3,/apis/userC.prod/veta/namespaces/default/taskRuns/taskRun2,ba51b8fd-67c1-41fc-96f8-5cb7fed4de0f,/prod/userC/,taskRun,pipeline4,https://api.example_system.com/namespace/pipeline4,success,
